ID,盆地名称,盆地类型,圈闭类型,地层代码,构造单元-构造级别,构造单元-构造类型,构造单元-上级构造,油气藏类型,油气田类型,井别,井型
74993,朝阳盆地,1.9527,0.4565,11.1974,2.3343,7.509,12.6972,4.8787,5.3661,3.8295,5.0381
75001,额济纳旗盆地,4.8301,2.0187,14.2305,3.8968,13.0679,7.5746,1.2955,0.4127,1.5838,5.7236
75090,建昌盆地,8.6911,4.808,10.9621,3.9836,0.1721,9.384,0.0332,3.2214,5.344,3.533
75104,胶莱盆地,8.4455,6.5824,5.7563,2.5341,2.7431,6.8399,0.5862,1.7748,0.9465,2.0634
75170,汾渭盆地,9.9585,5.0953,11.1516,4.2885,5.4774,3.6,3.3206,5.4546,1.6264,0.6654
75176,赤峰盆地,1.0656,1.1825,9.8514,1.0257,12.163,4.3716,5.0921,6.2664,1.7706,6.2159
75178,二谇盆地,0.5787,4.7184,5.4397,0.5765,11.7448,2.8817,1.6804,3.8001,6.0084,2.0045
75208,临汝盆地,6.3908,0.5794,2.2283,0.4168,6.6287,9.7284,1.5234,6.5887,4.8522,2.9519
75222,六盘山盆地,0.867,1.0527,2.0372,0.229,11.3488,3.557,6.9678,3.1396,0.3311,2.3497
75225,金羊盆地,3.4147,5.9189,1.6426,1.7621,12.9707,4.1076,6.8146,6.0028,3.1713,6.3086
75228,精河盆地,7.1868,6.3979,1.4311,1.603,13.7398,10.9542,0.583,0.7171,6.9806,1.1204
75281,措勤盆地,9.9953,2.5192,14.9637,2.1383,14.2752,14.4606,2.1126,1.3016,1.5159,6.6869
75299,波阳盆地,7.5995,1.1062,0.7357,6.9472,12.1325,14.2523,1.9764,0.0962,6.3044,1.3406
75334,民乐盆地,2.7036,6.8237,0.4902,2.6784,3.8927,10.9899,3.7337,2.2172,3.4058,0.8944
75347,酒东盆地,3.2374,3.3714,13.0919,3.2146,10.3519,2.6119,6.281,0.4529,3.9595,4.6629
75399,潮水盆地,4.7279,2.2345,1.9387,5.0755,6.2667,14.4036,4.1277,5.2474,0.4157,0.4518
75422,平庄盆地,6.5229,2.7111,14.693,4.8641,9.076,13.1757,6.5865,4.7948,4.9833,4.0055
75453,阿克塞盆地,2.3141,0.4882,8.4006,2.6642,10.801,6.4269,0.5638,2.0705,4.7398,0.9316
75626,北黄海盆地,8.2918,0.9638,5.2266,3.3091,7.4808,4.5198,5.7081,2.865,3.5691,2.7577
